2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 2.61	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 2.92	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 4.63	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.46	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.171	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.46	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 4.34	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 5.02	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 1.436	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.01	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.75	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.27	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.835	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.365	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.125	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.1	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 3.961	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 2.7	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 2.99	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 4.66	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.59	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.177	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.52	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 4.36	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 5.05	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 1.75	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.0118	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 1	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.35	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.93	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.39	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.18	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 0.108	
2024-01-12 13:40:29 INFO  ApiKantor:123 - pobrano dane waluty 3.999	
2024-01-12 13:40:29 INFO  Frontend:30 - Tworzenie interfejsu użytkownika dla strony: Kantor House
2024-01-12 13:40:29 INFO  Frontend:47 - Tworzenie interfejsu użytkownika zakończone sukcesem.
2024-01-12 13:40:29 INFO  ApiKantor:130 - Pobieranie danych zakończone sukcesem.
2024-01-12 13:40:46 INFO  CompUI:93 - Zapisano: eur
2024-01-12 13:40:46 INFO  Compare:17 - Rozpoczęcie porównywania cen dla waluty: EUR
2024-01-12 13:40:46 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/564840-kantor-kardinal
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty AED: Kupno: 1.05, Sprzedaż: 1.15
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.62, Sprzedaż: 2.68
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty BGN: Kupno: 2.18, Sprzedaż: 2.55
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.93, Sprzedaż: 2.99
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty CNY: Kupno: 0.45, Sprzedaż: 0.65
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty CZK: Kupno: 0.171, Sprzedaż: 0.177
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.48, Sprzedaż: 0.6
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.34, Sprzedaż: 4.37
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 5.03, Sprzedaż: 5.08
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty HUF: Kupno: 0.011, Sprzedaż: 0.013
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty ILS: Kupno: 0.9, Sprzedaż: 1.05
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty NOK: Kupno: 0.3, Sprzedaż: 0.36
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty RON: Kupno: 0.75, Sprzedaż: 1.105
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.365, Sprzedaż: 0.385
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty TRY: Kupno: 0.12, Sprzedaż: 0.2
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty UAH: Kupno: 0.1, Sprzedaż: 0.11
2024-01-12 13:40:47 INFO  ApiCur:108 - pobrano dane waluty USD: Kupno: 3.965, Sprzedaż: 3.995
2024-01-12 13:40:47 INFO  ApiCur:117 - Pobieranie danych zakończone sukcesem.
2024-01-12 13:40:47 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/876368-kantor-pr
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty AED: Kupno: 1.03, Sprzedaż: 1.17
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.6, Sprzedaż: 2.72
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.92, Sprzedaż: 2.98
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty CHF: Kupno: 4.63, Sprzedaż: 4.69
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.48, Sprzedaż: 0.54
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.34, Sprzedaż: 4.37
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 5.03, Sprzedaż: 5.08
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty HUF: Kupno: 0.011, Sprzedaż: 0.012
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty ILS: Kupno: 0.9, Sprzedaż: 1.09
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty JPY: Kupno: 0.026, Sprzedaż: 0.03
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty NOK: Kupno: 0.3, Sprzedaż: 0.36
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty RON: Kupno: 0.83, Sprzedaż: 0.98
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty SEK: Kupno: 0.36, Sprzedaż: 0.39
2024-01-12 13:40:49 INFO  ApiCur:108 - pobrano dane waluty TRY: Kupno: 0.12, Sprzedaż: 0.2
